Prompt,Generated Recipe
"Generate a dairy-free recipe for lunch with breadcrumbs, basil, sesame seeds, yogurt, avoiding mushrooms.","Dish: Ingredients: breadcrumbs, basil, sesame seeds, yogurt. Instructions: Combine breadcrumbs, basil, sesame seeds, add yogurt, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with mushrooms, breadcrumbs, bell peppers, garlic, avoiding sesame seeds.","Dish: Ingredients: mushrooms, breadcrumbs, bell peppers, garlic. Instructions: Combine mushrooms, breadcrumbs, bell peppers, add garlic, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with olive oil, tofu, eggplant, bell peppers, avoiding rice.","Dish: Ingredients: olive oil, tofu, eggplant, bell peppers. Instructions: Combine olive oil, tofu, eggplant, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with mushrooms, lemongrass, pasta, cashews, avoiding yogurt.","Dish: Ingredients: mushrooms, lemongrass, pasta, cashews. Instructions: Combine mushrooms, lemongrass, pasta, add cashews, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, eggplant, carrot, pasta, avoiding ginger.","Dish: Ingredients: cilantro, eggplant, carrot, pasta. Instructions: Combine cilantro, eggplant, carrot, add pasta, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with chickpeas, basil, garlic, coconut milk, avoiding bell peppers.","Dish: Ingredients: chickpeas, basil, garlic, coconut milk. Instructions: Combine chickpeas, basil, garlic, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with garlic, breadcrumbs, parmesan, spinach, avoiding tomato.","Dish: Ingredients: garlic, breadcrumbs, parmesan, spinach. Instructions: Combine garlic, breadcrumbs, parmesan, add spinach, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, avocado, onion, tofu, avoiding soy sauce.","Dish: Ingredients: cilantro, avocado, onion, tofu. Instructions: Combine cilantro, avocado, onion, add tofu, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with eggplant, lemongrass, soy sauce, cucumber, avoiding potato.","Dish: Ingredients: eggplant, lemongrass, soy sauce, cucumber. Instructions: Combine eggplant, lemongrass, soy sauce, add cucumber, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with spinach, basil, avocado, onion, avoiding tomato.","Dish: Ingredients: spinach, basil, avocado, onion. Instructions: Combine spinach, basil, avocado, add onion, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with carrot, garlic, olive oil, potato, avoiding spinach.","Dish: Ingredients: carrot, garlic, olive oil, potato. Instructions: Combine carrot, garlic, olive oil, add potato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, mushrooms, lemongrass, olive oil, avoiding tomato.","Dish: Ingredients: basil, mushrooms, lemongrass, olive oil. Instructions: Combine basil, mushrooms, lemongrass, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with tofu, rice, sesame seeds, tomato, avoiding eggplant.","Dish: Ingredients: tofu, rice, sesame seeds, tomato. Instructions: Combine tofu, rice, sesame seeds, add tomato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with onion, lemongrass, olive oil, rice, avoiding chickpeas.","Dish: Ingredients: onion, lemongrass, olive oil, rice. Instructions: Combine onion, lemongrass, olive oil, add rice, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, mushrooms, cucumber, tofu, avoiding basil.","Dish: Ingredients: lemongrass, mushrooms, cucumber, tofu. Instructions: Combine lemongrass, mushrooms, cucumber, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with pasta, lemongrass, cilantro, yogurt, avoiding coconut milk.","Dish: Ingredients: pasta, lemongrass, cilantro, yogurt. Instructions: Combine pasta, lemongrass, cilantro, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, carrot, mushrooms, tomato, avoiding olive oil.","Dish: Ingredients: lemongrass, carrot, mushrooms, tomato. Instructions: Combine lemongrass, carrot, mushrooms, add tomato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with ginger, sesame seeds, coconut milk, mushrooms, avoiding tofu.","Dish: Ingredients: ginger, sesame seeds, coconut milk, mushrooms. Instructions: Combine ginger, sesame seeds, coconut milk, add mushrooms, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with parmesan, basil, cucumber, soy sauce, avoiding cashews.","Dish: Ingredients: parmesan, basil, cucumber, soy sauce. Instructions: Combine parmesan, basil, cucumber, add soy sauce, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with potato, breadcrumbs, tomato, cilantro, avoiding eggplant.","Dish: Ingredients: potato, breadcrumbs, tomato, cilantro. Instructions: Combine potato, breadcrumbs, tomato, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with spinach, breadcrumbs, lentils, bell peppers, avoiding cashews.","Dish: Ingredients: spinach, breadcrumbs, lentils, bell peppers. Instructions: Combine spinach, breadcrumbs, lentils, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with cilantro, yogurt, cashews, potato, avoiding eggplant.","Dish: Ingredients: cilantro, yogurt, cashews, potato. Instructions: Combine cilantro, yogurt, cashews, add potato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with potato, sesame seeds, breadcrumbs, cilantro, avoiding pasta.","Dish: Ingredients: potato, sesame seeds, breadcrumbs, cilantro. Instructions: Combine potato, sesame seeds, breadcrumbs, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lemongrass, carrot, mushrooms, coconut milk, avoiding spinach.","Dish: Ingredients: lemongrass, carrot, mushrooms, coconut milk. Instructions: Combine lemongrass, carrot, mushrooms, add coconut milk, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with potato, cucumber, tofu, ginger, avoiding sesame seeds.","Dish: Ingredients: potato, cucumber, tofu, ginger. Instructions: Combine potato, cucumber, tofu, add ginger, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with lemongrass, tomato, breadcrumbs, garlic, avoiding bell peppers.","Dish: Ingredients: lemongrass, tomato, breadcrumbs, garlic. Instructions: Combine lemongrass, tomato, breadcrumbs, add garlic, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with yogurt, basil, sesame seeds, onion, avoiding potato.","Dish: Ingredients: yogurt, basil, sesame seeds, onion. Instructions: Combine yogurt, basil, sesame seeds, add onion, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with cashews, potato, onion, sesame seeds, avoiding lemongrass.","Dish: Ingredients: cashews, potato, onion, sesame seeds. Instructions: Combine cashews, potato, onion, add sesame seeds, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with coconut milk, rice, basil, pasta, avoiding ginger.","Dish: Ingredients: coconut milk, rice, basil, pasta. Instructions: Combine coconut milk, rice, basil, add pasta, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with avocado, yogurt, onion, mushrooms, avoiding ginger.","Dish: Ingredients: avocado, yogurt, onion, mushrooms. Instructions: Combine avocado, yogurt, onion, add mushrooms, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with mushrooms, avocado, cucumber, chickpeas, avoiding lemongrass.","Dish: Ingredients: mushrooms, avocado, cucumber, chickpeas. Instructions: Combine mushrooms, avocado, cucumber, add chickpeas, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with carrot, rice, ginger, cucumber, avoiding cashews.","Dish: Ingredients: carrot, rice, ginger, cucumber. Instructions: Combine carrot, rice, ginger, add cucumber, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with pasta, coconut milk, soy sauce, bell peppers, avoiding cucumber.","Dish: Ingredients: pasta, coconut milk, soy sauce, bell peppers. Instructions: Combine pasta, coconut milk, soy sauce, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with tofu, rice, cilantro, soy sauce, avoiding onion.","Dish: Ingredients: tofu, rice, cilantro, soy sauce. Instructions: Combine tofu, rice, cilantro, add soy sauce, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with ginger, breadcrumbs, mushrooms, bell peppers, avoiding lemongrass.","Dish: Ingredients: ginger, breadcrumbs, mushrooms, bell peppers. Instructions: Combine ginger, breadcrumbs, mushrooms, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with mushrooms, cucumber, coconut milk, basil, avoiding parmesan.","Dish: Ingredients: mushrooms, cucumber, coconut milk, basil. Instructions: Combine mushrooms, cucumber, coconut milk, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with ginger, carrot, pasta, coconut milk, avoiding mushrooms.","Dish: Ingredients: ginger, carrot, pasta, coconut milk. Instructions: Combine ginger, carrot, pasta, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with tomato, cucumber, mushrooms, spinach, avoiding basil.","Dish: Ingredients: tomato, cucumber, mushrooms, spinach. Instructions: Combine tomato, cucumber, mushrooms, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with coconut milk, eggplant, tomato, soy sauce, avoiding parmesan.","Dish: Ingredients: coconut milk, eggplant, tomato, soy sauce. Instructions: Combine coconut milk, eggplant, tomato, add soy sauce, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, avocado, tomato, olive oil, avoiding coconut milk.","Dish: Ingredients: basil, avocado, tomato, olive oil. Instructions: Combine basil, avocado, tomato, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with parmesan, rice, soy sauce, bell peppers, avoiding coconut milk.","Dish: Ingredients: parmesan, rice, soy sauce, bell peppers. Instructions: Combine parmesan, rice, soy sauce, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with potato, rice, pasta, olive oil, avoiding lentils.","Dish: Ingredients: potato, rice, pasta, olive oil. Instructions: Combine potato, rice, pasta, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with carrot, rice, avocado, bell peppers, avoiding eggplant.","Dish: Ingredients: carrot, rice, avocado, bell peppers. Instructions: Combine carrot, rice, avocado, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with garlic, olive oil, tomato, potato, avoiding sesame seeds.","Dish: Ingredients: garlic, olive oil, tomato, potato. Instructions: Combine garlic, olive oil, tomato, add potato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with pasta, breadcrumbs, yogurt, tomato, avoiding sesame seeds.","Dish: Ingredients: pasta, breadcrumbs, yogurt, tomato. Instructions: Combine pasta, breadcrumbs, yogurt, add tomato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with sesame seeds, lemongrass, yogurt, rice, avoiding pasta.","Dish: Ingredients: sesame seeds, lemongrass, yogurt, rice. Instructions: Combine sesame seeds, lemongrass, yogurt, add rice, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, eggplant, basil, coconut milk, avoiding lemongrass.","Dish: Ingredients: cilantro, eggplant, basil, coconut milk. Instructions: Combine cilantro, eggplant, basil, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with soy sauce, lentils, bell peppers, cilantro, avoiding spinach.","Dish: Ingredients: soy sauce, lentils, bell peppers, cilantro. Instructions: Combine soy sauce, lentils, bell peppers, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with cucumber, coconut milk, soy sauce, eggplant, avoiding pasta.","Dish: Ingredients: cucumber, coconut milk, soy sauce, eggplant. Instructions: Combine cucumber, coconut milk, soy sauce, add eggplant, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with rice, bell peppers, carrot, yogurt, avoiding basil.","Dish: Ingredients: rice, bell peppers, carrot, yogurt. Instructions: Combine rice, bell peppers, carrot, add yogurt, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cucumber, tomato, sesame seeds, coconut milk, avoiding soy sauce.","Dish: Ingredients: cucumber, tomato, sesame seeds, coconut milk. Instructions: Combine cucumber, tomato, sesame seeds, add coconut milk, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, chickpeas, spinach, cucumber, avoiding breadcrumbs.","Dish: Ingredients: basil, chickpeas, spinach, cucumber. Instructions: Combine basil, chickpeas, spinach, add cucumber, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with potato, basil, sesame seeds, ginger, avoiding avocado.","Dish: Ingredients: potato, basil, sesame seeds, ginger. Instructions: Combine potato, basil, sesame seeds, add ginger, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with spinach, carrot, ginger, bell peppers, avoiding rice.","Dish: Ingredients: spinach, carrot, ginger, bell peppers. Instructions: Combine spinach, carrot, ginger, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with garlic, potato, bell peppers, mushrooms, avoiding pasta.","Dish: Ingredients: garlic, potato, bell peppers, mushrooms. Instructions: Combine garlic, potato, bell peppers, add mushrooms, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with olive oil, chickpeas, lemongrass, pasta, avoiding coconut milk.","Dish: Ingredients: olive oil, chickpeas, lemongrass, pasta. Instructions: Combine olive oil, chickpeas, lemongrass, add pasta, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with parmesan, onion, spinach, cashews, avoiding basil.","Dish: Ingredients: parmesan, onion, spinach, cashews. Instructions: Combine parmesan, onion, spinach, add cashews, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with ginger, basil, lentils, tomato, avoiding onion.","Dish: Ingredients: ginger, basil, lentils, tomato. Instructions: Combine ginger, basil, lentils, add tomato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with spinach, avocado, onion, eggplant, avoiding garlic.","Dish: Ingredients: spinach, avocado, onion, eggplant. Instructions: Combine spinach, avocado, onion, add eggplant, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with onion, tofu, carrot, cilantro, avoiding rice.","Dish: Ingredients: onion, tofu, carrot, cilantro. Instructions: Combine onion, tofu, carrot, add cilantro, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with avocado, onion, cashews, breadcrumbs, avoiding coconut milk.","Dish: Ingredients: avocado, onion, cashews, breadcrumbs. Instructions: Combine avocado, onion, cashews, add breadcrumbs, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with rice, onion, chickpeas, bell peppers, avoiding cashews.","Dish: Ingredients: rice, onion, chickpeas, bell peppers. Instructions: Combine rice, onion, chickpeas, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with avocado, potato, tofu, cilantro, avoiding coconut milk.","Dish: Ingredients: avocado, potato, tofu, cilantro. Instructions: Combine avocado, potato, tofu, add cilantro, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with parmesan, cilantro, rice, cucumber, avoiding onion.","Dish: Ingredients: parmesan, cilantro, rice, cucumber. Instructions: Combine parmesan, cilantro, rice, add cucumber, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with avocado, bell peppers, cucumber, coconut milk, avoiding pasta.","Dish: Ingredients: avocado, bell peppers, cucumber, coconut milk. Instructions: Combine avocado, bell peppers, cucumber, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with mushrooms, eggplant, bell peppers, tofu, avoiding rice.","Dish: Ingredients: mushrooms, eggplant, bell peppers, tofu. Instructions: Combine mushrooms, eggplant, bell peppers, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with onion, lemongrass, yogurt, sesame seeds, avoiding cilantro.","Dish: Ingredients: onion, lemongrass, yogurt, sesame seeds. Instructions: Combine onion, lemongrass, yogurt, add sesame seeds, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with lemongrass, avocado, breadcrumbs, spinach, avoiding tofu.","Dish: Ingredients: lemongrass, avocado, breadcrumbs, spinach. Instructions: Combine lemongrass, avocado, breadcrumbs, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with carrot, yogurt, avocado, lentils, avoiding rice.","Dish: Ingredients: carrot, yogurt, avocado, lentils. Instructions: Combine carrot, yogurt, avocado, add lentils, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with avocado, lemongrass, cashews, parmesan, avoiding onion.","Dish: Ingredients: avocado, lemongrass, cashews, parmesan. Instructions: Combine avocado, lemongrass, cashews, add parmesan, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with yogurt, ginger, breadcrumbs, lentils, avoiding onion.","Dish: Ingredients: yogurt, ginger, breadcrumbs, lentils. Instructions: Combine yogurt, ginger, breadcrumbs, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with coconut milk, avocado, yogurt, sesame seeds, avoiding lemongrass.","Dish: Ingredients: coconut milk, avocado, yogurt, sesame seeds. Instructions: Combine coconut milk, avocado, yogurt, add sesame seeds, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with coconut milk, onion, garlic, eggplant, avoiding soy sauce.","Dish: Ingredients: coconut milk, onion, garlic, eggplant. Instructions: Combine coconut milk, onion, garlic, add eggplant, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with cilantro, cashews, soy sauce, coconut milk, avoiding yogurt.","Dish: Ingredients: cilantro, cashews, soy sauce, coconut milk. Instructions: Combine cilantro, cashews, soy sauce, add coconut milk, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with ginger, eggplant, soy sauce, avocado, avoiding pasta.","Dish: Ingredients: ginger, eggplant, soy sauce, avocado. Instructions: Combine ginger, eggplant, soy sauce, add avocado, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with cucumber, rice, potato, basil, avoiding mushrooms.","Dish: Ingredients: cucumber, rice, potato, basil. Instructions: Combine cucumber, rice, potato, add basil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with rice, ginger, coconut milk, spinach, avoiding tomato.","Dish: Ingredients: rice, ginger, coconut milk, spinach. Instructions: Combine rice, ginger, coconut milk, add spinach, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cashews, parmesan, chickpeas, olive oil, avoiding soy sauce.","Dish: Ingredients: cashews, parmesan, chickpeas, olive oil. Instructions: Combine cashews, parmesan, chickpeas, add olive oil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with basil, tomato, avocado, cilantro, avoiding carrot.","Dish: Ingredients: basil, tomato, avocado, cilantro. Instructions: Combine basil, tomato, avocado, add cilantro, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with soy sauce, garlic, carrot, bell peppers, avoiding eggplant.","Dish: Ingredients: soy sauce, garlic, carrot, bell peppers. Instructions: Combine soy sauce, garlic, carrot, add bell peppers, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with eggplant, breadcrumbs, garlic, tofu, avoiding sesame seeds.","Dish: Ingredients: eggplant, breadcrumbs, garlic, tofu. Instructions: Combine eggplant, breadcrumbs, garlic, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with yogurt, chickpeas, coconut milk, garlic, avoiding ginger.","Dish: Ingredients: yogurt, chickpeas, coconut milk, garlic. Instructions: Combine yogurt, chickpeas, coconut milk, add garlic, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with basil, parmesan, soy sauce, tomato, avoiding tofu.","Dish: Ingredients: basil, parmesan, soy sauce, tomato. Instructions: Combine basil, parmesan, soy sauce, add tomato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with soy sauce, onion, eggplant, potato, avoiding bell peppers.","Dish: Ingredients: soy sauce, onion, eggplant, potato. Instructions: Combine soy sauce, onion, eggplant, add potato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with olive oil, eggplant, sesame seeds, tofu, avoiding cilantro.","Dish: Ingredients: olive oil, eggplant, sesame seeds, tofu. Instructions: Combine olive oil, eggplant, sesame seeds, add tofu, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with cilantro, olive oil, coconut milk, tofu, avoiding avocado.","Dish: Ingredients: cilantro, olive oil, coconut milk, tofu. Instructions: Combine cilantro, olive oil, coconut milk, add tofu, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with avocado, tomato, olive oil, basil, avoiding pasta.","Dish: Ingredients: avocado, tomato, olive oil, basil. Instructions: Combine avocado, tomato, olive oil, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, lemongrass, cucumber, tomato, avoiding yogurt.","Dish: Ingredients: basil, lemongrass, cucumber, tomato. Instructions: Combine basil, lemongrass, cucumber, add tomato, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with bell peppers, sesame seeds, lemongrass, basil, avoiding breadcrumbs.","Dish: Ingredients: bell peppers, sesame seeds, lemongrass, basil. Instructions: Combine bell peppers, sesame seeds, lemongrass, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, spinach, breadcrumbs, lentils, avoiding lemongrass.","Dish: Ingredients: basil, spinach, breadcrumbs, lentils. Instructions: Combine basil, spinach, breadcrumbs, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with potato, sesame seeds, lentils, cilantro, avoiding chickpeas.","Dish: Ingredients: potato, sesame seeds, lentils, cilantro. Instructions: Combine potato, sesame seeds, lentils, add cilantro, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with parmesan, cilantro, potato, tomato, avoiding lentils.","Dish: Ingredients: parmesan, cilantro, potato, tomato. Instructions: Combine parmesan, cilantro, potato, add tomato, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for lunch with yogurt, carrot, avocado, chickpeas, avoiding lentils.","Dish: Ingredients: yogurt, carrot, avocado, chickpeas. Instructions: Combine yogurt, carrot, avocado, add chickpeas, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with breadcrumbs, onion, spinach, basil, avoiding garlic.","Dish: Ingredients: breadcrumbs, onion, spinach, basil. Instructions: Combine breadcrumbs, onion, spinach, add basil, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with avocado, sesame seeds, mushrooms, yogurt, avoiding soy sauce.","Dish: Ingredients: avocado, sesame seeds, mushrooms, yogurt. Instructions: Combine avocado, sesame seeds, mushrooms, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with spinach, eggplant, sesame seeds, yogurt, avoiding tofu.","Dish: Ingredients: spinach, eggplant, sesame seeds, yogurt. Instructions: Combine spinach, eggplant, sesame seeds, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with lentils, avocado, cashews, pasta, avoiding eggplant.","Dish: Ingredients: lentils, avocado, cashews, pasta. Instructions: Combine lentils, avocado, cashews, add pasta, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with garlic, lentils, yogurt, bell peppers, avoiding basil.","Dish: Ingredients: garlic, lentils, yogurt, bell peppers. Instructions: Combine garlic, lentils, yogurt, add bell peppers, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with olive oil, carrot, garlic, soy sauce, avoiding bell peppers.","Dish: Ingredients: olive oil, carrot, garlic, soy sauce. Instructions: Combine olive oil, carrot, garlic, add soy sauce, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with parmesan, rice, cilantro, lentils, avoiding cucumber.","Dish: Ingredients: parmesan, rice, cilantro, lentils. Instructions: Combine parmesan, rice, cilantro, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with eggplant, avocado, rice, spinach, avoiding tomato.","Dish: Ingredients: eggplant, avocado, rice, spinach. Instructions: Combine eggplant, avocado, rice, add spinach, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with basil, tofu, tomato, yogurt, avoiding ginger.","Dish: Ingredients: basil, tofu, tomato, yogurt. Instructions: Combine basil, tofu, tomato, add yogurt, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with olive oil, chickpeas, onion, cilantro, avoiding pasta.","Dish: Ingredients: olive oil, chickpeas, onion, cilantro. Instructions: Combine olive oil, chickpeas, onion, add cilantro, cook thoroughly, and serve hot."
"Generate a dairy-free recipe for dinner with parmesan, mushrooms, breadcrumbs, lentils, avoiding tofu.","Dish: Ingredients: parmesan, mushrooms, breadcrumbs, lentils. Instructions: Combine parmesan, mushrooms, breadcrumbs, add lentils, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for lunch with ginger, garlic, cilantro, olive oil, avoiding carrot.","Dish: Ingredients: ginger, garlic, cilantro, olive oil. Instructions: Combine ginger, garlic, cilantro, add olive oil, cook thoroughly, and serve hot."
"Generate a vegetarian recipe for dinner with olive oil, cashews, lentils, breadcrumbs, avoiding basil.","Dish: Ingredients: olive oil, cashews, lentils, breadcrumbs. Instructions: Combine olive oil, cashews, lentils, add breadcrumbs, cook thoroughly, and serve hot."
